Subgraph,Sentence
<S> <H> Family risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Internalized response to trauma <E>,Increasing family risk factors increases ACEs thereby increasing internalized response to trauma.
<S> <H> Substance abuse <POS> <T> Psychological pain <E>,Increasing substance abuse increasing psychological pain.
<S> <H> Parent’s substance use <POS> <T> ACEs <H> Parent’s substance use <POS> <T> Caregivers' needs are unmet <H> Parent’s substance use <POS> <T> Household dysfunction <E>,"Parent's substance use increases household dysfunction, ACEs, and unmet needs of the caregivers."
<S> <H> Healthy coping strategies <POS> <T> Protective factors <H> Protective factors <NEG> <T> ACEs <E>,"Increasing healthy coping strategies increases protective factors, thereby reducing ACEs."
<S> <H> Poverty <POS> <T> ACEs <H> Poverty <POS> <T> Suicide ideation <H> Poverty <POS> <T> Traumatic experience of the ACE <H> Traumatic experience of the ACE <POS> <T> Cumulative trauma <E>,"Increasing poverty increases ACEs, suicide ideation, traumatic experiences of the ACE. Increasing the traumatic experience of the ACE increases cumulative trauma."
<S> <H> Planning & Contemplation <POS> <T> Looking for (new) means <E>,Improving planning and contemplation increases looking for new means.
<S> <H> Stigma of embarassment <POS> <T> Denial of problem <E>,Increasing the stigma of embarrassment increase denial of the problem.
<S> <H> Gentrification <POS> <T> Relocation of existing services <E>,Increasing gentrification increases the relocation of existing services.
<S> <H> Interpersonal violence <POS> <T> Family risk factors <H> Interpersonal violence <POS> <T> Interpersonal stressors <H> Interpersonal violence <POS> <T> Re-attempt <H> Family risk factors <POS> <T> ACEs <E>,"Increasing interpersonal violence increase family risk factors, interpersonal stressors, and re-attempts. This increase to family risk factors increase ACEs."
<S> <H> Emotional distress/pain <POS> <T> Feeling in pain and trapped <H> Emotional distress/pain <POS> <T> Clinical depression <H> Emotional distress/pain <POS> <T> Alcohol and drugs consumption <H> Clinical depression <NEG> <T> Coping skills (cognitive & emotional regulation) <E>,"Increasing emotional distress increases the feeling in pain and trapped, clinical depression, alcohol and drugs consumption. This increase to clinical depression decreases coping skills."
<S> <H> Re-entry of parent <POS> <T> Disruptive events <E>,Re-entry of parent increases disruptive events.
<S> <H> ACEs <POS> <T> Chronic exposure to adversity <H> Chronic exposure to adversity <POS> <T> Awareness of adversity <E>,More ACEs leads to an increase in chronic exposure to adversity thereby increasing the awareness of adversity.
<S> <H> School funding <POS> <T> Education to get jobs <E>,Increasing school funding increases education to get jobs.
<S> <H> ACEs <POS> <T> Cumulative trauma <E>,More ACEs increase cumulative trauma.
<S> <H> Not fully developed cognitive abilities <POS> <T> Insufficient understanding of the finality of suicide <H> Insufficient understanding of the finality of suicide <POS> <T> Suicide ideation <E>,Underdeveloped cognitive abilities leads to an insufficient understanding of the finality of suicide thereby Increasing suicide ideation.
<S> <H> Therapy success <POS> <T> Hearing from child within therapy <H> Therapy success <POS> <T> Parental involvement in care <H> Parental involvement in care <POS> <T> Care at home <E>,"Improving therapy success Increasing hearing from child within therapy, and parental involvement in care. This increase in parental involvement increases care at home."
<S> <H> Cumulative trauma <POS> <T> Engaging in externalizing behaviors <H> Engaging in externalizing behaviors <POS> <T> Getting labeled at school <E>,Increasing cumulative trauma increases engaging in externalizing behavior increases getting labeled at school.
<S> <H> Economic stressors on families <POS> <T> Parental substance use <H> Economic stressors on families <POS> <T> Parental depression <H> Economic stressors on families <POS> <T> Violence in the home <E>,"Increasing economic stressors on families increases parental substance use, parental depression, and violence in the home."
<S> <H> Hopelessness <POS> <T> Traumatic experience of the ACE <E>,Increasing hopelessness increases the traumatic experience of the ACE.
<S> <H> Exposure to poverty <POS> <T> Community risk factors <E>,Increasing exposure to poverty increases community risk factors.
<S> <H> Engaging in externalizing behaviors <POS> <T> Getting labeled at school <E>,Increasing engaging externalizing behaviors increases getting labeled at school.
<S> <H> Cumulative trauma <POS> <T> Over-reactive and hyper-sensitive to feedback <H> Over-reactive and hyper-sensitive to feedback <POS> <T> Disruptive behaviors <H> Disruptive behaviors <POS> <T> Child risk factors <H> Disruptive behaviors <POS> <T> Engaging in conflicts <H> Engaging in conflicts <POS> <T> Harsh discipline <E>,Increasing cumulative trauma increasing over-reactive and hyper-sensitive to feedback thereby increasing disruptive behaviors. This increase to disruptive behaviors increases childhood risk factors and engagement in conflicts. This increase to conflict engagement increase harsh discipline.
<S> <H> Being in foster care <POS> <T> Being hospitalized <H> Being hospitalized <POS> <T> ACEs <E>,Being in foster care leads to more chance to being hospitalized thereby increasing ACEs.
<S> <H> Suicide ideation <POS> <T> Re-attempt <H> Suicide ideation <POS> <T> Substance abuse <H> Suicide ideation <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Therapy <E>,"Increasing suicide ideation increases re-attempts, substance abuse, suicide attempts. This increase to suicide attempts increases therapy."
<S> <H> Mental illness in the family <POS> <T> ACEs <H> Mental illness in the family <POS> <T> Caregivers' needs are unmet <H> Mental illness in the family <POS> <T> Household dysfunction <E>,"Increasing mental illness in the family increases ACEs, unmet caregivers' needs, and household dysfunction."
<S> <H> Discriminatory hiring practices <NEG> <T> Employment <H> Employment <POS> <T> Parental income from employment <E>,Increases to discriminatory hiring practices decreases employment thereby reducing parental income from employment.
<S> <H> Structural racism <POS> <T> Negative cultural forces <H> Negative cultural forces <POS> <T> Situational / interpersonal interactions <E>,Increasing structural racism increases negative cultural forces thereby increasing situational and interpersonal interactions.
<S> <H> Under-resourced communities <POS> <T> Societal risk factors <E>,More under-resourced communities increase societal risk factors.
<S> <H> Self-harm <POS> <T> Increased willingness to apply pain to one self <H> Increased willingness to apply pain to one self <POS> <T> Capacity for suicide <E>,Increasing self-harm increases willingness to apply pain to oneself thereby increasing the capacity for suicide.
<S> <H> ACEs <POS> <T> Shame <H> ACEs <POS> <T> Suicide ideation <E>,"Increasing ACEs increasing shame, and suicide ideation."
<S> <H> Physical disability <POS> <T> Disabilities <E>,Increasing physical disability increases disabilities.
<S> <H> Culture of secrecy <POS> <T> Undetected attempts by agents of change <E>,Increasing a culture of secrecy increases undetected attempts by agents of change.
<S> <H> Help-seeking behaviors <POS> <T> Access to mental health care <H> Access to mental health care <POS> <T> Treatment of mental health issues <H> Access to mental health care <POS> <T> Treatment of parental mental health issue <E>,Increasing help-seeking behaviors improves access to mental health care thereby increasing the treatment of mental health issues and parental mental health issues.
<S> <H> Exposure to violence <POS> <T> ACEs <E>,Increasing exposure to violence increases ACEs.
<S> <H> Protective factors <NEG> <T> ACEs <E>,Improving protective factors decreases ACEs.
<S> <H> Income tax credit <POS> <T> Economic support for families <E>,Increasing income tax credit increases economic support for families.
<S> <H> Suicide ideation <POS> <T> Mental health disorders <H> Suicide ideation <POS> <T> Ruminative thoughts about dying <H> Ruminative thoughts about dying <POS> <T> Reduced fear of death <E>,"Increasing suicide ideation increases mental health disorders, ruminative thoughts about dying. This increase to ruminative thoughts about dying reduces the fear of death."
<S> <H> Untreated parental mental health issue <POS> <T> Parental risk factors <H> Untreated parental mental health issue <POS> <T> Treatment of parental mental health issue <E>,Increasing untreated parental mental health issues increases parental risk factors and the treatment of parental mental health issues.
<S> <H> Involvement with the justice system <POS> <T> ACEs <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Involvement with the justice system <POS> <T> Sentence severity <E>,"Increasing involvement with the justice system increase ACEs, sentence severity, and contact with other individuals in the justice system."
<S> <H> Stress <POS> <T> Mental health disorders <H> Stress <POS> <T> Toxic stress <H> Toxic stress <POS> <T> (Unhealthy) coping strategies <H> Toxic stress <POS> <T> Reactive act of suicide <E>,Increasing stress increases mental health disorders and toxic stress. This increase of toxic stress increases unhealthy coping strategies and reactive act of suicide.
<S> <H> Many children in the home <NEG> <T> Income/person supported in the household <H> Income/person supported in the household <NEG> <T> Parental risk factors <E>,Increasing the children in the home decreases the income per person supported in the household thereby increasing parental risk factors.
<S> <H> Connectedness <POS> <T> Ability to safe life by treatment <H> Connectedness <POS> <T> Access to immediate effective clinical care <H> Connectedness <NEG> <T> Homelessness <H> Homelessness <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide attempt <POS> <T> Suicide treatment <H> Suicide planning <POS> <T> Suicide ideation <E>,"Increasing connectedness increases the ability to safe life by treatment, access to immediate effective clinical care, and reduces homelessness. This decrease to homelessness decreases suicide attempts thereby decreasing suicide planning, suicide treatment. This decrease to suicide planning also decreases suicide ideation."
<S> <H> Invalidation <POS> <T> Toxic stress <E>,Increasing invalidation increases toxic stress.
<S> <H> Clinical depression <POS> <T> Psychiatric disorders <H> Clinical depression <NEG> <T> Feeling energetic and hopeful <E>,"Increasing clinical depression increases psychiatric disorders, and reduces the feelings energetic and hopeful."
<S> <H> Disabilities <POS> <T> Child risk factors <H> Disabilities <POS> <T> Parental burden <E>,Increasing disabilities increases child's risk factors and parental burden.
<S> <H> Family stress <POS> <T> Parental frustration <H> Parental frustration <POS> <T> ACEs <H> Parental frustration <POS> <T> Parents' coping via substance use <H> ACEs <POS> <T> Suicide attempt <E>,Increasing family stress increases parental frustration thereby increasing ACEs and parents' coping via substance use. This increase to ACEs increases suicide attempts.
<S> <H> Developmental transition <NEG> <T> ACEs <H> Developmental transition <POS> <T> Development of social support <H> Developmental transition <NEG> <T> Impulsivity <E>,"Increasing developmental transition decreases ACEs and impulsivity, and increases the development of social support."
<S> <H> Structural racism <POS> <T> Arrest of parent <H> Structural racism <POS> <T> Incarceration of parent <H> Structural racism <POS> <T> Discriminatory mortage lending practices <H> Incarceration of parent <NEG> <T> Parental income from employment <E>,Increasing structural racism increases the likelihood of the arrest and incarceration of parents. It also increases discriminatory mortgage lending practices. This increase to parental incarceration decreases parental income from employment.
<S> <H> Tribal community <POS> <T> Historical trauma <H> Tribal community <POS> <T> Suicide fatality <H> Historical trauma <POS> <T> Biological embedding of trauma in the family <H> Historical trauma <POS> <T> Suicide ideation <E>,Increasing belongingness to a tribal community increases historical trauma and suicide fatality. This increase to historical trauma increases suicide ideation and biological embedding of trauma in the family.
<S> <H> Insufficient understanding of the finality of suicide <POS> <T> Suicide ideation <E>,A less sufficient understanding of the finality of suicide increase suicide ideation.
<S> <H> Long commute to work <NEG> <T> Presence of adults able to invest in positive relationships with children <E>,Increasing the length of commutes to work decrease the presence of adults able to invest in positive relationships with children.
<S> <H> Separation <POS> <T> Re-entry of parent <H> Separation <POS> <T> Disruptive events <H> Disruptive events <POS> <T> Stress <E>,Increasing separation increases re-entry of parents and disruptive events. This increase to disruptive events increases stress.
<S> <H> Neighbourhood violence <POS> <T> Unsafe to go outside <H> Unsafe to go outside <POS> <T> Exposure to family stressors <H> Exposure to family stressors <POS> <T> Stress <E>,Increasing neighbourhood violence decreases the safety going outside thereby increasing exposure to family stressors. This increase of exposure increases stress.
<S> <H> Suicide attempt <POS> <T> Lethality of method <H> Suicide attempt <POS> <T> Suicide fatality <H> Lethality of method <NEG> <T> Ability to safe life by treatment <E>,Increasing the likelihood of a suicide attempt increases the lethality of method and suicide fatality. This increase to the lethality decreases the ability to save their life by treatment.
<S> <H> Housing stability <NEG> <T> Low quality of housing <H> Low quality of housing <POS> <T> ACEs <E>,Increasing housing stability increases the quality of housing thereby lowering ACEs.
<S> <H> Impulse control problems <POS> <T> Behavioral problems <H> Behavioral problems <POS> <T> Child risk factors <H> Child risk factors <POS> <T> ACEs <E>,Increasing impulse control problems increases behavioral problems thereby increasing child risk factors. This increase of risk factors increases ACEs.
<S> <H> Behavioral problems <POS> <T> Child risk factors <H> Behavioral problems <POS> <T> Child escalation of conflicts <H> Child risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Impulse control problems <E>,Increasing behavioral problems increasing childhood risk factors and childhood escalation of conflicts. This increase to risk factors increases ACEs thereby increasing impulse control problems.
<S> <H> Policies promoting parental health education <NEG> <T> Corporal punishment <H> Policies promoting parental health education <NEG> <T> Lack of parental coping mechanisms <E>,Increasing policies promoting parental health education decrease corporal punishment and lack of parental coping mechanisms.
<S> <H> Mental health disorders <POS> <T> Long stay <H> Long stay <POS> <T> Mental health treatment <E>,Increasing mental health disorders increasing long stay thereby increasing mental health treatment.
<S> <H> Chronic exposure to adversity <POS> <T> Awareness of adversity <E>,Increasing chronic exposure to adversity increases awareness of adversity.
<S> <H> Coping via substance use <POS> <T> Parental conflict <E>,Increasing coping via substance use increases parental conflict.
<S> <H> Neighbourhood risk factors <POS> <T> Family risk factors <E>,Increasing neighbourhood risk factors increases family risk factors.
<S> <H> Suicide ideation <POS> <T> Visit of ER <H> Visit of ER <POS> <T> Receives care at home <H> Visit of ER <POS> <T> Hospitalized <H> Hospitalized <POS> <T> Treatment success <E>,Increases to suicide ideation increases visits to the ER thereby increasing care at home and hospitalization. This increase to hospitalization increases treatment success.
<S> <H> Access to health care services <POS> <T> Removal from care services <H> Removal from care services <POS> <T> Experienced negative treatment experience <H> Removal from care services <POS> <T> Family risk factors <E>,Improving access to health care services increases the removal from care services thereby increasing experiences of negative treatment and family risk factors.
<S> <H> Suicide planning <POS> <T> Suicide attempt <H> Suicide planning <POS> <T> Suicide ideation <E>,Increasing suicide planning increases suicide attempts and suicide ideation.
<S> <H> Epi-genetic & behavioral modeling effects on parents <POS> <T> Parental perpetration of ACE <E>,Increasing epigenetic and behavioral modeling effects on parents increase parental perpetration of ACE.
<S> <H> Maternal substance use during childhood and adolescence <POS> <T> Parent’s substance use <E>,Increasing maternal substance use during childhood and adolescence increases parental substance use.
<S> <H> School funding <POS> <T> Education to get jobs <E>,Increasing school funding increases education to get jobs.
<S> <H> Institutional Risk Factors <POS> <T> Neighborhood-based risk factors <H> Institutional Risk Factors <NEG> <T> Resilience <H> Neighborhood-based risk factors <POS> <T> ACEs <H> Neighborhood-based risk factors <POS> <T> Police presence <E>,"Increasing institution risk factors increases neighborhood-based risk factors, and reduces resilience. This increase to neighborhood-based risk factors increases ACEs and police presence."
<S> <H> Positive peers <NEG> <T> Toxic stress <H> Positive peers <POS> <T> Peers you can talk to <H> Peers you can talk to <POS> <T> Protective environment <E>,"Increasing positive peers decreases toxic stress. It also increases peers in whom one can confide, thereby making a protective environment."
<S> <H> Neurological vulnerabilities <POS> <T> Difficult behaviors <E>,Increasing neurological vulnerabilities increases difficult behaviors.
<S> <H> Family history of suicides <POS> <T> Single parent household <E>,Increasing family history of suicides increases the likelihood of a single parent household.
<S> <H> Trauma history <POS> <T> Involvement in violence <H> Trauma history <POS> <T> Situational / interpersonal interactions <E>,Increasing trauma history increases the involvement in violence and situational and interpersonal interactions.
<S> <H> Protective environment <POS> <T> Positive handling of stress <H> Positive handling of stress <POS> <T> Resilience <E>,A more protective environment increases positive handling of stress thereby increasing resilience.
<S> <H> Over-reactive and hyper-sensitive to feedback <POS> <T> Disruptive behaviors <H> Disruptive behaviors <POS> <T> Engaging in conflicts <H> Engaging in conflicts <POS> <T> Harsh discipline <E>,Increasing sensitivity to feedback increases disruptive behaviors thereby increasing the engagement in conflicts. This increase in engagement increases harsh discipline.
<S> <H> Brain development problems <POS> <T> Mental health problems <E>,Increasing brain development problems increases mental health problems.
<S> <H> Racism and forms of systemic oppression <POS> <T> ACEs <H> Racism and forms of systemic oppression <POS> <T> Societal risk factors <H> Racism and forms of systemic oppression <POS> <T> Under-resourced communities <E>,"Increasing racism and systemic oppression increases ACEs, societal risk factors, and under-resourced communities."
<S> <H> Suicide ideation <POS> <T> Suicide attempt <E>,Increases to suicide ideation increases suicide attempts.
<S> <H> Religious Resentment <NEG> <T> Faith <H> Faith <POS> <T> Suicide ideation <E>,Increasing religious resentment decreases faith thereby decreases suicide ideation.
<S> <H> Neighborhood SES <POS> <T> School attainments <H> Neighborhood SES <POS> <T> Employment Success <H> Neighborhood SES <NEG> <T> Substance use <E>,"Increasing neighborhood SES increases school attainment and employment success, and decreases substance use."
<S> <H> ACEs <POS> <T> Toxic stress <H> ACEs <POS> <T> Invalidation <E>,Increasing ACEs increases toxic stress and invalidation.
<S> <H> Disruptive behaviors <POS> <T> Child risk factors <H> Disruptive behaviors <POS> <T> Engaging in conflicts <H> Engaging in conflicts <POS> <T> Harsh discipline <E>,Increasing disruptive behaviors increases childhood risk factors and engagement in conflict. This increase to engagement increases harsh discipline.
<S> <H> Parental risk factors <POS> <T> Parental stress <H> Parental stress <POS> <T> Household Challenges <E>,Increasing parental risk factors increases parental stress thereby increasing household challenges.
<S> <H> Perceived ACE severity <POS> <T> ACEs <E>,Increasing the perceived severity of ACE increases ACEs.
<S> <H> ACEs <POS> <T> Vulnerability <H> ACEs <POS> <T> Re-attempt <H> Vulnerability <NEG> <T> Coping skills (cognitive & emotional regulation) <E>,"Increasing ACEs increasing vulnerability, and re-attempts. This increase to vulnerability worsens coping skills."
<S> <H> Tribal community <POS> <T> ACEs <H> Tribal community <POS> <T> Trauma history <H> Trauma history <POS> <T> Involvement in violence <H> Trauma history <POS> <T> Situational / interpersonal interactions <H> Situational / interpersonal interactions <POS> <T> Suicide ideation <E>,"Increasing belongingness to tribal community increasing ACEs, and trauma history. This increase to trauma history increases involvement in violence, and Situational and interpersonal interactions. This increase to Situational and interpersonal interactions increases suicide ideation."
<S> <H> Access to services <POS> <T> Housing stability <H> Housing stability <NEG> <T> Family financial stress <H> Housing stability <NEG> <T> Homelessness <H> Family financial stress <POS> <T> Distress <E>,Improving access to services increases housing stability thereby decreasing family financial stress and homelessness. This decrease to family financial stress decreases distress in turn.
<S> <H> Neurological disorders <POS> <T> Chronic pain <E>,Increasing neurological disorders increases chronic pain.
<S> <H> Treatment of parental mental health issue <NEG> <T> Parental risk factors <E>,Increases to the treatment of parental mental health issue decreases parental risk factors.
<S> <H> Devaluation of one's identity <POS> <T> Emotional invalidation <E>,A lower evaluation of the value of one's identity increases emotional invalidation.
<S> <H> Stress <POS> <T> Positive handling of stress <H> Stress <POS> <T> Toxic stress <H> Positive handling of stress <POS> <T> Resilience <E>,Increasing stress increases positive handling of stress and toxic stress. This improvement to the handling of stress increases resilience.
<S> <H> Household income <POS> <T> Income/person supported in the household <H> Household income <POS> <T> Protective factors <E>,Increasing household income increases the income per person supported in the household and protective factors.
<S> <H> Neighbourhood violence <POS> <T> Exposure to violence <H> Neighbourhood violence <POS> <T> Neighbourhood risk factors <H> Exposure to violence <POS> <T> Normalization of violence <E>,"Increases to neighbourhood violence increase exposure to violence, and neighbourhood risk factors. This increase to the exposure to violence increases the normalization of violence in turn."
<S> <H> Parental stress <POS> <T> ACEs <H> Parental stress <POS> <T> Parental perpetration of ACE <E>,Increasing parental stress increases ACEs and parental perpetration of ACE.
<S> <H> Societal empathy and compassion for others <NEG> <T> Racism and forms of systemic oppression <H> Racism and forms of systemic oppression <POS> <T> Under-resourced communities <E>,Increases to societal empathy and compassion for others decreases racism and systemic oppression thereby decreasing under-resourced communities.
<S> <H> Ruminative thoughts about dying <POS> <T> Anxiety <E>,Increasing ruminative thoughts about dying increases anxiety.
<S> <H> Parental mental health issues <POS> <T> Undiagnosed parental mental health issue <H> Undiagnosed parental mental health issue <POS> <T> Untreated parental mental health issue <E>,Increasing parental mental health issues increase undiagnosed parental mental health issues thereby increasing untreated parental mental health issues.
<S> <H> Child abuse or neglect <POS> <T> ACEs <E>,Increasing child abuse and or neglect increases ACEs.
<S> <H> Suicide ideation <POS> <T> Mental health disorders <H> Suicide ideation <NEG> <T> Self-esteem <H> Suicide ideation <POS> <T> Substance abuse <H> Self-esteem <NEG> <T> Child risk factors <H> Self-esteem <POS> <T> Coping skills/resiliency <H> Substance abuse <POS> <T> Psychological pain <H> Coping skills/resiliency <NEG> <T> (Unhealthy) coping strategies <H> Coping skills/resiliency <NEG> <T> ACEs <H> ACEs <POS> <T> Cumulative trauma <E>,"Increasing suicide ideation increases mental health disorders, substance abuse, and decreases self-esteem. This increase to substance abuse increases psychological pain. The decrease to self-esteem caused by an increasing suicide ideation increases childhood risk factors, and worsens coping skills. Woresend coping skills lead to less healthy coping strategies and more ACEs. This increase to ACEs increases cumulative trauma."
<S> <H> Peers you can talk to <POS> <T> Protective environment <E>,More peers to whom one can confide leads to a more protective environment.
<S> <H> Cultural norms supportive of spanking <POS> <T> Policy and cultural risk factors <H> Policy and cultural risk factors <POS> <T> ACEs <E>,Increases to the cultural normalization and support of spanking increases policy based and cultural risk factors thereby increasing ACEs.
<S> <H> Parental perpetration of ACE <POS> <T> ACEs <E>,Increases to parental perpetration of ACE increases ACEs.
<S> <H> Structural racism <POS> <T> ACEs <H> Structural racism <POS> <T> Involvement with the justice system <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Involvement with the justice system <POS> <T> Substance use treatment <H> Substance use treatment <NEG> <T> Substance abuse <E>,"Increasing structural racism increases ACEs, involvement with the justice system. This increase in involvement increases contact with other individuals in the justice system and increases substance use treatment. This increase to substance use treatment decreases substance abuse."
<S> <H> ACEs <POS> <T> Cumulative trauma <H> ACEs <POS> <T> Suicide ideation <E>,Increases to ACEs increases cumulative trauma and suicide ideation.
<S> <H> Number of children in home <NEG> <T> Income/person supported in the household <E>,Increasing the number of children in the home decreases the income per person supported in the household.
<S> <H> Societal risk factors <POS> <T> Parental stress <E>,Increasing societal risk factors increases parental stress.
<S> <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide planning <POS> <T> Execution of suicide plan <E>,Increasing suicide attempts increases suicide planning thereby increasing the likelihood of the execution of said plans.
<S> <H> Parental stress <POS> <T> ACEs <H> ACEs <POS> <T> Brain development problems <H> ACEs <POS> <T> Impulsivity <H> Brain development problems <POS> <T> Developmental disorders and delays <H> Developmental disorders and delays <POS> <T> Cost of specialized childcare expenses and services <H> Developmental disorders and delays <POS> <T> Marital relationship stress <E>,Increasing parental stress increases ACEs thereby increasing brain development problems. impulsivity. This increase to brain development problems increases developmental disorder and delays thereby increasing the cost of specialized child care expenses and services and marital relationship stress.
<S> <H> Stress of housing insecurity <POS> <T> Economic stressors on families <H> Economic stressors on families <POS> <T> Parental substance use <H> Economic stressors on families <POS> <T> Parental depression <H> Economic stressors on families <POS> <T> Violence in the home <E>,"Increasing the stress of housing insecurity increases economic stressors on families thereby increasing parental substance use, parental depression, and violence in the home."
<S> <H> Getting labeled at school <POS> <T> Engaging in externalizing behaviors <E>,Getting labeled more at school increases engagement in externalizing behaviors.
<S> <H> Suicide ideation <POS> <T> Mental health disorders <H> Mental health disorders <NEG> <T> Child getting help <H> Mental health disorders <NEG> <T> Help-seeking behaviors <H> Child getting help <POS> <T> Ability to express one self <H> Child getting help <POS> <T> Lack of perceived behavior change <H> Child getting help <POS> <T> Problems handling difficult emotions <H> Problems handling difficult emotions <NEG> <T> Therapy success <E>,"Increasing suicide ideation increases mental health disorders thereby decreasing help-seeking behaviors and the child getting help. This decrease to the child receiving help decreases ability to express oneself, problems handling difficult emotions, and increases the behavioral change perceived. This decrease to problems handling difficult emotions increases therapy success."
<S> <H> Sexual/gender minority <POS> <T> Shame <H> Sexual/gender minority <POS> <T> Devaluation of one's identity <H> Devaluation of one's identity <POS> <T> Emotional invalidation <E>,"Increasing the belongingness to a gender or dexual minority increases shame, and the devaluation of one's identity. This devaluation increases emotional invalidation."
<S> <H> Parental loss <POS> <T> ACEs <E>,Increasing parental loss increases ACEs.
<S> <H> Living in a home with intimate partner violence <POS> <T> Exposure to violence <E>,Increasing intimate partner violence at home increase exposure to violence.
<S> <H> School tolerance of injustice and victimization <POS> <T> Devaluation of one's identity <E>,Increasing school tolerance of injustice and victimization increases the devaluation of one's identity.
<S> <H> African-American <POS> <T> Removal from care services <H> African-American <POS> <T> Anticipated negative treatment experience <H> Removal from care services <POS> <T> Experienced negative treatment experience <H> Anticipated negative treatment experience <POS> <T> Medical/clinical care avoidance <H> Medical/clinical care avoidance <POS> <T> Avoidance of mental/emotional/behavioral care services <E>,"Increasing the belongingness to an African-American identity increases the removal from care services, anticipated negative treatment experience. This increase to the removal from care services increases the experience of negative treatments. This increase to the anticipation of a negative treatment experience increases the avoidance of medical or clinical care thereby increases the avoidance of mental/emotional/behavioral care services."
<S> <H> Suicide ideation <POS> <T> Ruminative thoughts about dying <H> Ruminative thoughts about dying <POS> <T> Anxiety <E>,Increasing suicide ideation increases ruminative thoughts about dying thereby increasing anxiety.
<S> <H> Number of children in home <NEG> <T> Income/person supported in the household <E>,Increasing the number of children in home decreases the income per person supported in the household.
<S> <H> African/American <POS> <T> Invalidating family environment <H> African/American <POS> <T> Parental lack of education on therapy <H> Invalidating family environment <POS> <T> Suicide ideation <E>,"Increasing the belongingness to an African-American identities increases parental lack of education on the subject of therapy, and a more invalidating family environment. This less validating family environment increases suicide ideation."
<S> <H> Help-seeking behaviors <POS> <T> Access to mental health care <H> Access to mental health care <POS> <T> Treatment of mental health issues <H> Access to mental health care <POS> <T> Treatment of parental mental health issue <E>,More help-seeking behaviors improves access to mental health care thereby increasing the treatment of mental health issues and parental health issues.
<S> <H> Child welfare intervention <POS> <T> Being in foster care <E>,Increasing child welfare intervention increases being in foster care.
<S> <H> Parents' mental illness <POS> <T> Household challenges <E>,Increasing parents mental illness increases household challenges.
<S> <H> Mental health disorders <NEG> <T> Child getting help <H> Mental health disorders <NEG> <T> Help-seeking behaviors <H> Child getting help <POS> <T> Ability to express one self <H> Child getting help <POS> <T> Lack of perceived behavior change <H> Child getting help <POS> <T> Problems handling difficult emotions <H> Problems handling difficult emotions <NEG> <T> Therapy success <E>,"Increasing mental health disorders decreases health-seeking behaviors and the child getting help. This decrease to the child receiving help decreases their ability to express oneself, problems handling difficult emotions, and increases the perception of behavior change. This decrease problems handling difficult emotions increases therapy success."
<S> <H> Removal from care services <POS> <T> Experienced negative treatment experience <H> Experienced negative treatment experience <POS> <T> Medical/clinical care avoidance <H> Medical/clinical care avoidance <POS> <T> Avoidance of mental/emotional/behavioral care services <E>,"Increasing the removal from care services increases experiences of negative treatment thereby increasing medical and clinical care avoidance. This increase to avoidance in turn increases avoidance of mental, emotional and behavioral care services."
<S> <H> Local job opportunities <POS> <T> Parental income from employment <E>,Increasing local job opportunities increases parental income from employment.
<S> <H> Suicide attempt <POS> <T> Re-attempt <H> Suicide attempt <POS> <T> Therapy <E>,Increasing suicide attempt increases re-attempt and therapy.
<S> <H> Family economic stress <POS> <T> Family stress <E>,Increasing family economic stress increases family stress.
<S> <H> Supervised internet access <NEG> <T> Ability to identify suicide methods <E>,Increasing supervised internet access decreases ability to identify suicide methods.
<S> <H> Cumulative trauma <POS> <T> Engaging in externalizing behaviors <H> Engaging in externalizing behaviors <POS> <T> Getting labeled at school <E>,Increasing cumulative trauma increases engagement in externalizing behaviors thereby increasing getting labeled at school.
<S> <H> Mental illness in the family <POS> <T> Distrust of mental health <H> Distrust of mental health <NEG> <T> Access to health care services <H> Distrust of mental health <POS> <T> Unwillingness to access medical services <E>,"Increasing mental illness in the family increases the distrust of mental health thereby decreasing access to health care services, and increasing the unwillingness to access such services."
<S> <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide attempt <POS> <T> Suicide treatment <H> Suicide planning <POS> <T> Suicide ideation <H> Suicide ideation <POS> <T> Visit to the ER <E>,"Increasing suicide attempt increases suicide planning, and suicide treatment. This increase to suicide planning increases suicide ideation thereby increasing the likelihood of visiting the ER."
<S> <H> Mental health disorders <POS> <T> Suicide ideation <H> Suicide ideation <POS> <T> Ruminative thoughts about dying <H> Ruminative thoughts about dying <POS> <T> Reduced fear of death <E>,Increasing mental health disorders increases suicide ideation thereby increasing ruminative thoughts about dying. This increase to ruminative thoughts about dying increases the reduction to the fear of death.
<S> <H> (Unhealthy) coping strategies <POS> <T> Substance abuse <E>,Less healthy coping strategies increases substance abuse.
<S> <H> Lack of family income <POS> <T> Parent engage in illegal activities <E>,Decreasing the family income increases the likelihood of a parent engaging in illegal activities.
<S> <H> Psychiatric disorders <NEG> <T> Feeling energetic and hopeful <E>,Increasing psychiatric disorders decreases feelings of energy and hope.
